"Deutsch";"English";"dansk";"Nederlands";"scientific"
"Kleiner Vogelfuß m";"bird’s-foot";"liden fugleklo";"klein vogelpootje n";"Ornithopus perpusillus"
"kleiner werden; abnehmen (v.)";"decrease (v.)";"blive mindre (v.)";"minderen (ww.)";
"Kleines Filzkraut n";"small cudweed";"liden museurt";"dwergviltkruid n";"Filago minima"
"Kleines Habichtskraut n";"mouseear hawkweed";"håret høgeurt";"muizeoor";"Hieracium pilosella"
"Kleines Helmkraut n";"lesser skullcap";"liden skjolddrager";"klein glidkruid n";"Scutellaria minor"
"Kleines Tausendgüldenkraut n";"lesser centaury";"liden tusindgylden";"fraai duizendguldenkruid n";"Centaurium pulchellum"
"Kleines Wintergrün n";"common wintergreen";"liden vintergrøn";"klein wintergroen n";"Pyrola minor"
"Kleines Zweiblatt m";"lesser twayblade";"hjertebladet fliglæbe";"kleine keverorchis";"Listera cordata"
"Kliesche f";"dab";"almindelig ising";"schar";"Limanda limanda"
"Klippenbarsch m";"goldsinny";"havkaruds";"kliplipvis";"Ctenolabrus rupestris"
"Knäkente f";"garganey";"atlingand";"zomertaling";"Anas querquedula"
"Knäuel-Binse f";"compact rush";"knop-siv";"biezeknoppen";"Juncus conglomeratus"
"Knollen-Fuchsschwanz m";"bulbous foxtail";"knold-rævehale";"knolvossestaart";"Alopecurus bulbosus"
"Knolliger Hahnenfuß m";"bulbous buttercup";"knold-ranunkel";"knolboterbloem";"Ranunculus bulbosus"
"Knorpeltang m";"carragheen; irish moss";"carrageentang";"iers mos n";"Chondrus crispus"
"Knotiges Mastkraut n";"knotted pearlwort";"knude-firling";"sierlijke vetmuur n";"Sagina nodosa"
"Knurrhähne m";"gurnards";"knurrhane";"knorhaan";"Trigla spp."
"Knutt m";"red knot";"islandsk ryle";"kanoetstrandloper";"Calidris canutus"
"Köcherwurm m";"trumpet worm";"isvaffelorm";"goudkammetje n";"Pectinaria koreni"
"kolonisieren (v.)";"colonise (v.)";"kolonisere (v.)";"koloniseren (ww.)";
"Kompassqualle f";"compass jellyfish";"kompasgople";"kompaskwal";"Chrysaora hyoscella"
"Konferenz, die (-; -en)";"conference";"konference (-en; -er)";"conferentie, de";
"Königsfarn m";"royal fern";"kongebregne";"koningsvaren";"Osmunda regalis"
"Köpfchenpolypen, Einfacher Röhrenpolyp";"common flower-head; organ pipe";"grenet rørpolyp";"gorgelpijppoliep";"Tubularia larynx & indivisa"
"Korallenmoos n";"hydroid “Hydrallmania falcata“";"spiralpolyp";"gekromde zeeborstel";"Hydrallmania falcata"
"Körbchenmuschel f";"common basket shell";"hampefrømusling";"korfschelp";"Aloides gibba, Corbicula gibba"
"Kormoran m";"great cormorant";"skarv";"aalscholver";"Phalacrocorax carbo"
"Körnchen-Steinbrech m";"meadow saxifrage";"kornet stenbræk";"knolsteenbreek n";"Saxifraga granulata"
"Korngröße, die (-; -n)";"grain size";"kornstørrelse (n; -r)";"korrelgrootte, de (pl.: korrelgrootten of korrelgroottes)";
"Kornweihe f";"hen harrier";"blå kærhøg";"blauwe kiekendief";"Circus cyaneus"
"Kotpillenwurm m";"capitellid thread worm";"havbørsteorm “Heteromastus filiformis“";"rode draadworm";"Heteromastus filiformis"
"Krähenbeere f";"crowberry";"revling";"kraaihei";"Empetrum nigrum"
"Krähenfuß-Wegerich m";"bucks´s horn plantain";"fliget-vejbred";"hertshoornweegbree n";"Plantago coronopus"
"Krankheit, die (-; -en)";"disease";"sygdom (-sygdommen; sygdomme)";"ziekte, de (pl.: ziekten of ziektes)";
"Krause Bohrmuschel f";"oval piddock";"stor boremusling";"ruwe boormossel";"Zirfaea crispata"
"Krauser Ampfer m";"curled dock";"kruset skræppe";"krulzuring";"Rumex crispus"
"Krebs, der (-es; -e)";"crustacean";"krebsdyr n";"kreeftachtigen";"Crustaceax"
"Kreuzmuster-Teppichmuschel f";"chequered carpet shell";"gitret tæppemusling";"geruite tapijtschelp";"Venerupis decussata"
"Krickente f";"common teal";"krikand";"wintertaling";"Anas crecca"
"Kriechende Hauhechel m";"common restharrow";"mark-krageklo";"kruipend stalkruid n";"Ononis repens ssp. maritima"
"Kriechender Hahnenfuß m";"creeping buttercup";"lav ranunkel";"kruipende boterbloem";"Ranunculus repens"
"Kriechweide f";"creeping willow";"krybende pil";"kruipwilg";"Salix repens"
"Kröten-Binse f";"toad rush";"tudse-siv";"greppelrus";"Juncus bufonius"
"Küken, das (-s; -)";"chick";"ungfugl (-en; -e); kylling (-en; -er)";"kuiken, het (pl.: kuikens); pulletje, het";
"Kulturerbe, das (-s; no pl.)";"cultural heritage";"kulturarv (-en; no pl.)";"cultureel erfgoed, het";
"Kurzästiger Queller m";"prostrate glasswort";"kortakset salturt";"kortarige zeekraal n";"Salicornia ramosissima"
"kurzfristig";"short-term";"kortfristet";"op korte termijn";
"Kurzschnabelgans f";"pink-footed goose";"kortnæbbet gås";"kleine rietgans";"Anser brachyrhynchus"
"Kurzschnauzen- Seepferdchen n";"short-snouted seahorse";"kortsnudet søhest";"zeepaardje n";"Hippocampus hippocampus"
"Küste, die (-; -n)";"coast";"kyst (-en; -er)";"kust, de";
"Küstengebiet, das (-[e]s; -e)";"coastal area";"kystområde (-t; -r)";"kustgebied, het";
"Küsten-Gerste f";"meadow barley";"eng-byg";"veldgerst n";"Hordeum secalinum"
"Küsten-Kamille f";"sea mayweed";"strand-kamille";"reukloze kamille";"Matricaria maritima"
"Küsten-Rotklee, Küsten-Wiesen-Klee m";"beach crimson clover";"strandrødkløver";"rode klaver";"Trifolium pratense maritimum"
"Küstenschutz, der (-es; no pl.) (nur bei Technik, pl.: -e)";"coastal protection";"kystsikring (-en; -er)";"kustverdediging, de";
"Küstenseeschwalbe f";"arctic tern";"havterne";"noordse stern";"Sterna paradisea"
"Lachmöwe f";"common black-headed gull";"hættemåge";"kokmeeuw";"Larus ridibundus"
"Lachseeschwalbe f";"gull-billed tern";"sandterne";"lachstern";"Gelochelidon nilotica"
"Lagune, die (-, -n)";"lagoon";"lagune (-en; -er)";"lagune, de (pl.: lagunen of lagunes)";
"Lahnung, die (-; -en)";"groyne, breakwater";"høfde (-n; -r)";"strekdam, de (pl.: strekdammen)";
"Landesregierung, die (-; -en) (hier: Landesregierung von einem Bundesland)";"federal state government";"delstatsregering (-en;-er)";"regiobestuur, het; provinciebestuur, het (pl.: regiobesturen; provinciebesturen)";
"Landgewinnung, die (-; -en)";"land reclamation";"landindvinding (-en; -er)";"landaanwinning, de";
"Landschaft, die (-; -en)";"landscape";"landskab (-et; -er)";"landschap, het (pl.: landschappen)";
"Landschaftsschutz-gebiet, das (-[e]s; -e)";"landscape conservation area; protected landscape area";"fredet landskabs-område (-t; -r); naturpark (-en; -er)";"beschermd natuurgebied, het";
"Landwirtschaft, die (-; no pl.)";"agriculture";"landbrug (-et; no pl.)";"landbouw, de";
"langfristig";"long-term";"langfristet";"op lange tremijn";
"Lanzett-Froschlöffel m";"narrowleaved water-plantain";"lancet-skeblad";"slanke waterweegbree";"Alisma lanceolatum"
"Larvenfall, der (-[e]s; Larvenfälle) (hier: von Muscheln)";"spat fall; spat setting";"larvenedslag (-et; -e) (her: muslingelarvenedslag)";"broedval, de";
"Laugenblume f";"common brassbuttons";"firkløft";"goudknopje n";"Cotula coronopifolia"
"Lebensbedingung, die (-; -en)";"living conditions";"livsbetingelse (-n; -r); levebetingelse (-n; -r)";"levensvoorwaarde, de; levensomstandigheid, de (pl.: levensomstandigheden)";
"Lebensgemeinschaft, die (-; -en)";"biocoenosis";"plante- og dyresamfund (-et; -)";"levensgemeenschap, de (pl.: levensgemeenschappen)";
"Lebensraum, der (-[e]s; Lebensräume)";"habitat";"leveområde; habitat";"leefruimte, de";
"Lebenszyklus, der (-es; Lebenszyklen) (hier: jährlicher Lebenszyklus eines Vogels, usw.)";"life cycle (here: annual life cycle of a bird, etc.)";"livscyklus (-en,-er) (her:årlig livscyklus for en fugl)";"levenscyclus, de (pl.: cycli of cyclussen) (hier: jaarlijks levenscyclus van een vogel)";
"Lehm, der (-[e]s; -e); Ton, der (-[e]s; no pl.) (nur bei Sorten, pl.: –e)";"clay";"ler (-et; no pl.)";"leem, de of het; klei, de";
"Leimkraut, Gewöhnliches n";"bladder campion";"blæresmælde";"blaassilene";"Silene vulgaris"
"Leinkraut n";"common toadflax";"almindelig torskemund";"vlasbekje n";"Linaria vulgaris"
"Leuchtturm, der (-[e]s; Leuchttürme)";"lighthouse";"fyrtårn (-et; -e)";"vuurtoren, de";
"Löffelente f";"Northern shoveler";"skeand";"slobeend";"Anas clypeata"
"Löffler m";"European spoonbill";"skestork";"lepelaar";"Platalea leucorodia"
"lohnend";"rewarding; profitable";"lønnende, givtig";"Lonend";
"Löwenzahn m";"common dandelion";"almindelig mælkebøtte";"paardebloem";"Taraxacum officinale"
"Luftüberwachung, die (-; -en)";"airborne surveillance";"luftovervågning (-en;-er)";"luchtbewaking, de";
"Luftverkehr, der (-s; -e)";"air traffic";"lufttrafik (lufttrafik(k)en; no pl.)";"luchtverkeer, het";
"Lungenenzian m";"marsh gentian";"klokke-ensian";"klokjesgentiaan";"Gentiana pneumonanthe"
"Mähnengerste f";"foxtail barley";"egernhale-byg";"kwispelgerst n";"Hordeum jubatum"
"Makrele f";"Atlantic mackerel";"makrel";"makreel";"Scomber scombrus"
"Mantelmöwe f";"great black-backed gull";"svartbag";"grote mantelmeeuw";"Larus marinus"
"marin";"marine";"marin";"Marien";
"Marine Säuger m";"Marine Mammals";"Pattedyr";"Zoogdieren";"Mammaliax"
"Marsch, die (-; -en)";"marsh(land)";"marsk (-en; -)";"moeras, het (pl.: moerassen); veen, het (pl.: venen)";
"Maskenkrebs, Antennenkrebs m";"masked crab; helmet crab";"maskekrabbe";"helmkrab";"Corystes cassivelaunus"
"Mauer-Doppelsame f";"annual wallrocket";"mursennep";"kleine zandkool n";"Diplotaxis muralis"
"Mauser, die (-; -n)";"moult";"fældning (-en; -er)";"rui, de";
"Mausergebiet, das (-[e]s; -e)";"moulting ground";"fældeområde (-t; -r)";"ruigebied, het";
"mausern: sich ~ (v.)";"moult (v.)";"fælde (v.)";"ruien; in de rui zijn (ww.)";
"Mausöhrchenschnecke f";"European ovatella";"evesnegl";"muizeoortje n";"Ovatella myosotis"
"Meer, das (-[e]s; -e)";"sea";"hav (-et; -e)";"zee, de (pl.: zeeën)";
"Meerassel, die (-, n)";"sea slater (isopods)";"tanglus";"zeepissebed";"Idotea spp."
"Meeresnacktschnecke, die (-; -en)";"true sea slug";"nøgensnegl";"zeenaaktslak, de";"Nudibranchia"
"Meeressäugetier, das (-[e]s; -e)";"sea mammal";"havpattedyr (-et; -)";"zeezoogdier, het";
"Meeresspiegel, der (-s; no pl.)";"sea level";"havoverflade (-n; -r) ; havspejl (-et; -)";"zeeniveau, het; zeespiegel, de";
"Meerkohl m";"sea kale";"strandkål";"zeekool";"Crambe maritima"
"Meersaite f";"mermaid’s tresses";"Chorda filum";"veterwier n";"Chorda filum"
"Meersalat m";"sea lettuce; green laver";"søsalat";"zeesla";"Ulva lactuca"
"Meer-Salde f";"beaked tasselweed";"almindelig havgræs";"snavelruppia";"Ruppia maritima"
"Meersenf m";"sea rocket";"strandsennep";"zeeraket";"Cakile maritima"
"Meerstrandläufer m";"purple sandpiper";"sortgrå ryle";"paarse strandloper";"Calidris maritima"
"Meerwarze f";"asymmetrical barnacle “Verruca stroemia“";"Verruca stroemia";"ritspok";"Verruca stroemia"
"mehrjährig";"perennial";"flerårig";"Meerjarig";
"Melonenqualle f";"beroe";"melongople";"meloenkwalletje n";"Beroe cucumis"
"Miesmuschel f";"common (blue) mussel";"blåmusling";"mossel";"Mytilus edulis"
"Milchkraut n";"sea milkwort";"sandkryb";"melkkruid";"Glaux maritima"
"Ministererklärung, die (-; -en)";"Ministerial Declaration";"ministererklæring (-en; -er)";"Ministeriële Verklaring, de";
"Mischwatt, das (-[e]s; -en)";"mixed sediment mudflat";"slikvade (-n; -r) af blandede sedimenter";"wad, het (hier: tussen zandig en slikkig wad in)";
"Mittelsäger m";"red-breasted merganser";"toppet skallesluger";"middelste zaagbek";"Mergus serrator"
"Mittlerer Sonnentau m";"long-leaved sundew";"liden soldug";"kleine zonnedauw n";"Drosera intermedia"
"Moor-Labkraut n";"fen bedstraw";"sump-snerre";"ruw walstro n";"Galium uliginosum"
"Moosbeere, Gewöhnliche f";"cranberry";"tranebær n";"kleine veenbes";"Vaccinium oxycoccus"
"Motorboot, das (-[e]s; -e)";"motorboat";"motorbåd –en; -e)";"motorboot, de (pl.: boten)";
"Muschel, die (-, n)";"bivalve";"musling";"tweekleppige";"Bivalviax"
"Muschelbank, die (-; Muschelbänke)";"mussel bed";"muslingebanke (-n; -r)";"mosselbank, de";
"Muschelschale, die (-; -n)";"shell; seashell";"muslingeskal (-len; -ler); konkylie (-n; -r)";"schelp, de";
"Museum, das (-s; Museen)";"museum";"museum (museet; museer)";"museum, het";
"nachhaltig";"sustainable";"bæredygtig; vedvarende";"duurzaam; blijvend";
"nachhaltige Entwicklung, die (-; -en)";"sustainable development";"bæredygtig udvikling(-en; -er); vedvarende udvikling (-en; -er)";"duurzame ontwikkeling, de";
"Nachhaltigkeit, die (-; no pl.)";"sustainability";"bæredygtighed (-en; no pl.); holdbarhyd (-en; -er)";"duurzaamheid, de";
"Nachteil, der (-s; -e)";"disadvantage";"ulempe (-n; -r)";"nadeel, het";
"Nadel-Sumpfsimse f";"needle spikerush";"nåle-sumpstrå";"naaldwaterbies";"Eleocharis acicularis"
"Nährstoff, der (-[e]s; -e)";"nutrient";"næringsstof (-fet; -fer)";"voedingsstof, de (pl.: voedingsstoffen)";
"Nahrungsangebot, das (es; -e); Nahrungszufuhr, die (-; pl.)";"food supply";"fødevaretilbud (fødevaretilbud(d) et; -)";"voedselaanbod, het";
"Nahrungsgebiet, das (-[e]s; -e); Jagdrevier, das (-s; -e)";"foraging grounds";"ædeområde (-t; -r); ædeplads (-en; -er); jagtområde (-t; -r)";"fourageergebied, het";
"Nahrungskette, die (-; -n)";"food chain";"fødekæde (-n; -r)";"voedselketen, de (pl.: voedselketenen of voedselketens)";
"Nahrungsquelle, die (-, -n)";"food source; food resource";"fødekilde (-n; -r)";"voedselbron, de (pl.: voedselbronnen)";
"nahrungsreich";"rich in food";"næringsrigt";"voedselrijk";
"Napfschnecke, Gemeine f";"common limpet";"albueskæl";"schaalhoren";"Patella vulgata"
"Nationalpark, der (-s; -s o. –e)";"national park";"nationalpark (-en; -er)";"Nationaal Park, het";
"Natternkopf m";"viper’s bugloss";"slangehoved";"slangekruid n";"Echium vulgare"
"Natternzunge f";"adder´s tongue";"almindetli slangetunge";"addertong";"Ophioglossum vulgatum"
"Natur, die (-; -en)";"nature";"natur (-en; -er)";"natuur, de (pl.: naturen)";
"Naturlehrpfad, der (-es; -e)";"nature trail";"oplevelsessti (-en; -er) (her: natur-oplevelsessti)";"educatief natuurpad, het";
"natürlich";"natural";"naturlig";"Natuurlijk";
"Naturraum, der (-[e]s; Naturräume)";"macrochore; main landscape";"naturområde (-t; -r)";"natuurruimte, de (pl.: natuurruimtes of natuurruimten); natuurgebied, het";
"Naturschutzverband, der (-[e]s; Naturschutzverbände)";"nature conservation organisation";"naturfrednings-organisation (-en; -er); naturbeskyttelsesorganisation (-en; -er); naturbeskyttelsesforening (-en; -er)";"natuurbeschermings-organisatie, de (pl.: natuurbeschermingsor-ganisaties)";
"naturwissenschaftlich";"natural-scientific";"naturvidenskabelig";"natuurwetenschappe-lijk";
"Nelken-Haferschmiele f";"silver hairgrass";"udspærret dværgbunke";"zilverhaver";"Aira caryophyllea"
"Neptunshorn n";"red whelk; buckie";"rødkonk";"noordhoren";"Neptune antiqua"
"Nesseltier, das (-[e]s; -e)";"Cnidarian";"Polypdyr n";"Neteldier";"Cnidariax"
"Nest, das (-[e]s; er)";"nest";"rede (-n;-r)";"nest, het";
"Netzblatt n";"creeping lady’s-tresses";"knærod";"dennenorchis";"Goodyera repens"
"Netzreusenschnecke f";"netted dogwhelk";"dværgkonk";"gevlochten fuikhoorn";"Nassarius reticulatus / Hinia reticulatus"
"Netzwerk, das (-[e]s; -e)";"network";"netværk (-et; -)";"netwerk, het";
"Neumond, der (-[e]s; -e)";"new moon";"nymåne (--n; -r)";"nieuwe maan, de (pl.: manen)";
"Nicht-Zielorganismus, der (-; Nicht-Zielorganismen) (z.B. Nicht-Zielfisch)";"non-target organism (e.g. non-target fish)";"ikke-målorganisme (-n; -r) (fx. ikke-målfisk)";"niet-doelorganisme, het (b.v. niet-doelsoorten = bijvangst-soorten)";
"Nickendes Leimkraut n";"Nottingham catchfly";"nikkende limurt";"nachtsilene";"Silene nutans"
"Niederliegendes Mastkraut n";"procumbent pearlwort";"almindelig firling";"kruipend vetmuur n";"Sagina procumbens"
"Niedrige Schwarzwurzel f";"viper’sgrass";"lav skorsoner";"kleine schorseneer";"Scorzonera humilis"
"Niedrigwasser, das (-s; -)";"low tide";"lavvande (-t; -r)";"laagwater, het";
"Nipptide, die (-; -n)";"neap tide";"nipflod (-en; -er)";"doodtij, het";
"Nonnengans f";"barnacle goose";"bramgås";"brandgans";"Branta leucopsis"
"Nordische Astarte f";"astarte borealis";"astartemusling";"astarte borealis";"Astarte borealis"
"Nordische Purpurschnecke f";"dog whelk";"purpursnegl";"purperslak";"Nucella lapillus"
"Nordsee, die (-; no pl.)";"North Sea";"Nordsø (-en; no pl.)";"Noordzee, de";
"Nordseegarnele, Sandgarnele f";"common (brown) shrimp";"hestereje; sandreje";"gewone garnaal";"Crangon crangon"
"Normalnull (Abk.: NN) (z.B. Höhe über Normalnull (üNN))";"sea level, zero level (as reference surface) (e.g. height above sea level; absolute altitude)";"normal nul ; havoverflade (-n; no pl.) (her: havoverfladen som udgangspunkt; fx.: meter over havet (m.o.h.))";"nulniveau, het; Normaal (Amsterdam) Peil (afkorting: NAP of NAP-niveau), het";
"Norwegische Herzmuschel f";"Norway cockle";"glat hjertemusling";"noorse hartschelp";"Laevicardium crassum"
"Notfall, der (-[e]s; Notfälle)";"emergency";"nødstilfælde (-t; -)";"geval, het (pl.: gevallen) (hier: geval van nood)";
"Nussmuschel f";"nutclam";"nøddemusling";"parelmoerneut";"Nucula spp."
"Oeders Gelb-Segge f";"common yellow-sedge";"ærte star";"geelgroene zegge";"Carex oederi"
"öffentlich";"public";"offentlig";"openbaar";
"Öffentlichkeitsarbeit, die (-; -en)";"public relation(s)";"PR-arbejde (-t; -); PR-virksomhed (-en; -er)";"publicrelationswerk, het";
"Öhrchenweide f";"eared sallow";"øret pil";"geoorde wilg";"Salix aurita"
"Ohrenlerche f";"shorelark";"bjerglærke";"strandleeuwerik";"Eremophila alpestris"
"Ohrenqualle f";"moon jellyfish; common jellyfish";"vandmand";"oorkwal";"Aurelia aurita"
"Ohrlöffel-Leimkraut n";"Spanish catchfly";"klit-limurt";"oorsilene";"Silene otites"
"ökologisch";"ecological";"økologisk";"ecologisch";
"Ökosystem, das (-s; -e)";"ecosystem";"økosystem (-et; -er)";"ecosysteem, het (pl.: ecosystemen)";
"Ölplattform, die (-; -en)";"oil platform";"olieboreplatform (-en; -er)";"olieplatform, het (pl.: olieplatforms of olieplatformen)";
"Ölteppich, der (-s; -e)";"oilslick; oil slick; spill";"olietæppe (-t; -r); oliebælte (-t; -r)";"olievlek, de (pl.: olievlekken); olietapijt, het";
"Ölverschmutzung, die (-; -en)";"oil contamination; oil spill";"olieforurening (-en; -er)";"olieverontreiniging, de";
"Ölverseuchung, die (-; -en); Ölkatastrophe, die (-; -n)";"oil pollution; oil spillage";"oliekatastrofe (-n; -r)";"olieramp, de; oliecatastrofe, de";
"Opalwurm m";"white worm";"børsteorm „Nephtys hombergii“";"zandzager";"Nephtys hombergii"
"Opfer, das (-s; -)";"victim";"offer (of(fe)ret; ofre)";"slachtoffer, het (pl.: slachtoffers)";
"Opposition, die (-; -en); Widerspruch, der (-[e]s; Widersprüche)";"opposition";"opposition (-en; -er); modsigelse (-n; -r)";"Oppositie, de (pl.: opposities); verzet, het";
"Organismus, der (-; Organismen)";"organism";"organisme (-n; -r)";"organisme, het";
"Osmose, die (-; no pl.)";"osmosis";"osmose (-n; no pl.)";"osmose, de";
"Ostsee, die (-; no pl.)";"Baltic Sea";"Østersø (-en; no pl.)";"Oostzee, de";
"Ottermuschel f";"otter shell";"oddermusling";"otterschelp";"Lutraria lutraria"
"Ovale Trogmuschel f";"oval trough shell";"elliptisk trugmusling";"ovale strandschelp";"Spisula elliptica"
"Panzer, der (-s; -)";"carapace";"panser (-et; -e)";"pantser, het (pl.: pantsers)";
"Pazifische Auster, Pazifikauster f";"Pacific (Japanese) oyster";"japanske øster";"japanse oester";"Crassostrea gigas"
"Pelikanfuß m";"pelican´s foot shell";"pelikanfod";"pelikaansvoet";"Aporrhais pespelicani"
"Pfahlbau, der (-[e]s; -ten)";"pile dwelling; pile building";"pælebygning (-en; -er)";"paalwoning, de";
"Pfahlwürmer m";"shipworms";"pæleorme";"paalwormen";"Teredo spp."
"Pfeffermuschel f";"peppery furrow shell";"flad pebermusling";"platte slijkgaper";"Scrobicularia plana"
"Pfeifengras n";"purple moor-grass";"blåtop";"pijpenstro";"Molinia caerulea"
"Pfeifente f";"Eurasian wigeon";"pibeand";"smient";"Anas penelope"
"Pfeilblättrige Melde f";"hastate orach";"skøn-bægret mælde";"melde „atriplex calotheca“";"Atriplex calotheca"
"Pfeilkresse f";"hoary cress";"hjertekarse";"pijlkruidkers";"Cardaria draba"
"Pferdeaktinie f";"beadlet anemone";"perlerandet søanemone";"paardeanemoon";"Actinia equus"
"Pflanze, die (-; -n)";"plant";"plante (-n; -r)";"plant, de";
"Pflanzenfresser, der (-s; -)";"herbivore";"planteæder (-en; -e)";"planteneter, de";
"Pflanzung, die (-; -en)";"bowery; plantation";"plantning (-en; -er)";"beplanting, de";
"Pflicht, die (-, -en)";"duty";"pligt (-en; -er)";"Plicht, de";
"pflügbar (hier: pflügbares Land)";"arable (here: arable land)";"pløjbar (her: pløjbart land)";"ploegbaar (hier: ploegbaar land)";
"Pfriemen-Kalmar m";"long finned squid; common European squid";"spids blæksprutte";"dwergpijlinktvis";"Allotheutis subulata"
"Pfriemen-Mastkraut n";"heath pearlwort";"syl-firling";"priemvetmuur n";"Sagina subulata"
"Pfuhlschnepfe f";"bar-tailed godwit";"lille kobbersneppe";"rosse grutto";"Limosa lapponica"
"Pillenfarn m";"pillwort";"pilledrager";"pilvaren";"Pilularia globulifera"
"Pionierpflanze, die (-; -n)";"pioneer plant";"pionerplante (-n; -r)";"pioniersplant, de";
"Plate, die (-; -n)";"highsand";"højsand (-et; e)";"wadplaat, de (pl.: wadplaten)";
"Platte Binse f";"round-fruited rush";"fladstrået siv";"platte rus";"Juncus compressus"
"Platte Tellmuschel f";"thin tellin";"almindelig tallerkenmusling";"tere platschelp";"Angulus tenuis"
"Pleistozän, das (-s; -)";"pleistocene";"Pleistocæn (-en; no pl.)";"pleistoceen, het";
"Population, die (-; -en)";"population";"population (-en; -er)";"populatie, de (pl.: populaties)";
"Portulak-Keilmelde f";"sea purslane";"stilkløs kilebæger";"gewone zoutmelde";"Halimione portulacoides"
"Posthörnchenwurm m";"tubeworm “Spirorbis spirorbis“";"posthornsorm";"spiraalkokerworm";"Spirorbis spirorbis"
"Prächtiger Salzkäfer m";"intertidal rove beetle “Bledius spectabilis“";"rovbille „Bledius“";"Bledius spectabilis";"Bledius spectabilis"
"Preiselbeere f";"cowberry";"almindelig tyttebær";"rode bosbes";"Vaccinium vitis-idaea"
"Priel, der (-[e]s; -e)";"tidal creek";"rende (-n; -r)";"geul, de";
"Primärproduktion, die (-; no pl.)";"primary production";"primærproduktion (-en; no pl.)";"primaire productie, de";
"Prinzip (das (-s; no pl.)) der sorgfältigen Entscheidungsfindung";"Principle of Careful Decision Making";"Princip (-pet) om omhyggelig beslutningstagning";"beginsel (het) van zorgvuldige besluitvorming";
"Prinzip (das (-s; no pl.)) des Standes der Technik und der besten Umweltpraxis";"Principle of Best Available Techniques and Best Environmental Practice";"Princip (-pet) om anvendelse af den bedst tilgængelige teknologi og bedste miljøpraksis";"beginsel (het) van de best beschikbare technieken en de beste milieuveilige handelswijze";
"Prinzip, das (-s; -ien)";"principle";"princip (-pet; -per)";"beginsel, het; principe, het";
"Prozess, der (-es; -e)";"process";"proces (-sen; -ser)";"proces, het";
"Purgier-Lein m";"purging flax";"vild hør";"geelhartje n";"Linum catharticum"
"Purpurtang m";"purple laver; sloke";"rød purpurhinde";"purperwier n";"Porphyra purpurea"
"Pyramiden-Spitzorchis f";"pyramidal orchid";"horndrager";"hondskruid n";"Anacamptis pyramidalis"
"Quelle, die (-; -n)";"source";"kilde (-n; -r)";"bron, de (pl.: bronnen)";
"Quendelblättriges Sandkraut n";"thyme-leaved sandwort";"almindelig markarve";"zandmuur n";"Arenaria serpyllifolia"
"Quendel-Kreuzblümchen n";"heath milkwort";"spæd mælkeurt";"liggende vleugeltjesbloem";"Polygala serpyllifolia"
"Ramalina siliquosa";"sea ivory";"klippe-grenlav";"gewoon steenmos n";"Ramalina siliquosa"
"Rasen-Ringelwurm m";"bristle worm “Pygospio elegans“";"børsteorm “Pygospio elegans“";"zandkokerworm";"Pygospio elegans"
"Rasen-Wicke f";"spring vetch";"vår-vikke";"lathyruswikke";"Vicia lathyroides"
"Rasige Haarsimse f";"deergrass";"tue kogleaks";"veenbies";"Scirpus cespitosum"
"Rastgebiet, das (-[e]s; -e)";"resting ground";"hvileområde (-t; -r); hvileplads / rasteplads (-en; -er)";"rustgebied, het";
"Raubmöwen f";"jaegers; skuas";"kjove";"jagers";"Stercorarius spp."
"Raubtier, das (-[e]s; -e)";"predators";"rovdyr (-et; -)";"roofdier, het";
"Raubvogel, der (-s; Raubvögel)";"bird of prey";"rovfugl (-en; -e)";"roofvogel, de (pl.: roofvogels)";
"Raue Gänsedistel f";"prickly sow-thistle";"ru svinemælk";"gekroesde / brosse / ruwe melkdistel";"Sonchus asper"
"Rauhes Vergißmeinicht n";"early forget-me-not";"bakke-forglemmigej";"ruw vergeet-mij-nietje";"Myosotis ramosissima"
"Raukenblättriges Greiskraut n";"hoary ragwort";"smalfliget brandbæger";"viltig kruiskruid n";"Senecio erucifolius"
"Rauschbeere f";"bog bilberry";"mose-bølle";"rijsbes";"Vaccinium uliginosum"
"Reetdach, das (-[e]s; Reetdächer)";"thatched roof";"stråtag (-et; -e)";"Rieten dak, het";
"Regenbrachvogel m";"whimbrel";"lille regnspove";"regenwulp";"Numenius phaeopus"
"Region, die (-; -en)";"region";"region (-en; -er)";"streek, de";
"Reiherente f";"tufted duck";"troldand";"kuifeend";"Aythya fuligula"
"Reiherschnabel m";"common stork’sbill";"hejrenæb";"gewone reigersbek";"Erodium cicutarium"
"Reise, die (-; -n)";"journey, trip";"rejse (-n; -r); tur (-en; -e)";"reis, de (pl.: reizen)";
"reiten (v.)";"horseback riding (v.)";"ride (v.)";"paardrijden (ww.)";
"Reuse, die (-; -n)";"fyke";"ruse (-n; -r)";"fuik, de";
"Richtmaß, das (-es; -e); Richtwert, der (-[e]s; -e)";"standard gauge";"referenceværdi (-en; -er)";"referentiepunt, de; referentiekader, het";
"Ringelgans, dunkelbäuchige f";"darkbellied brent goose";"mørkbuget knortegås";"rotgans";"Branta bernicla"
"Rippel, die (-; -n)";"ripple";"rille (-n; -r)";"Ribbel, de (pl.: ribbels)";
"Rippelkamm, der (-[e]s; Rippelkämme)";"ripple crest";"rillekam (-en; -me)";"ribbelkam, de (pl.: ribbelkammen)";
"Rippeltal, das (-[e]s; Rippeltäler)";"ripple trough";"rilledal (-en; -e)";"ribbeldal, het";
